호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,구로디지털단지,272,3,37732,6764,49233,22401,125002,72106,167507,229960,105952,137429,60736,54489,54377,42983,59165,44195,61032,51706,56111,53827,58284,61373,70148,70342,120063,101832,207237,152855,105463,125329,60695,78967,50724,76603,39513,72850,15388,46708,41,443,11,31,1,2,0,0
2호선,대림(구로구청),646,21,34782,3695,27392,10761,60423,20821,86280,55588,58473,35172,34870,29173,30142,30132,32778,29453,32467,30575,30049,31669,31286,38794,34219,42646,42472,61597,55026,70525,27930,50825,19902,35656,15474,43291,11725,41616,5127,21529,25,957,0,11,0,4,0,0
2호선,신도림,3796,24,34234,5233,44676,17521,117516,36887,122304,103230,78900,63413,52255,57090,51942,53418,60018,56514,62912,59331,61691,58970,64083,66208,71494,75434,90313,98483,121432,153179,72692,117739,58381,68164,57765,61535,41479,61183,17580,44719,76,13181,6,43,1,14,0,0
2호선,문래,11,0,3216,1712,11128,8948,38147,29165,40741,109304,24128,52149,17614,19341,17007,17676,18677,19447,20605,20757,21196,20961,22325,20955,27405,23590,46029,31417,94643,49626,35122,37179,22555,19438,22056,16832,18693,15800,7659,9203,17,482,1,0,0,3,0,0
2호선,영등포구청,31,1,5354,3084,11305,12669,36496,31143,42107,113062,26947,50322,20833,24720,21723,21117,23150,22471,24407,24230,25281,22862,27654,23567,32442,26347,48343,32107,95444,49370,35339,34819,24931,20286,22924,18092,17280,17243,6396,11621,8,562,4,8,0,1,0,0
2호선,당산,75,7,6315,3399,14559,11723,40868,26560,51111,76024,30535,35455,20889,18687,20327,17420,21717,19393,22404,21352,21178,21163,21688,24163,25932,28652,39633,41211,60214,66731,28014,47357,20154,29537,19281,27428,16918,24872,7069,17684,21,379,2,17,0,1,0,0
2호선,합정,88,0,7567,2955,15555,13875,38599,30215,50695,84924,33686,66841,24218,39761,25556,37917,28457,42735,33017,47297,34443,46628,37415,44632,45188,50014,62888,68138,99813,99478,67647,70465,50506,37241,56023,29992,55436,25407,23553,19184,60,839,17,18,0,4,0,0
2호선,홍대입구,624,12,17977,3382,22805,13978,54503,28616,67545,87707,44983,95808,33557,65626,39103,72168,47599,96346,58846,110070,60472,107339,72286,109633,91454,112505,118595,137036,150985,179876,114767,133382,108287,69202,127677,51446,132980,42663,56375,32697,464,5993,46,27,0,7,0,0
2호선,신촌,70,4,6049,2648,11653,14700,28979,30693,40574,68422,29538,78717,28349,49969,32604,45967,40929,50734,43541,60610,46451,53043,52116,49006,62092,49514,79100,67109,82647,96639,57988,65977,57057,33856,59440,27569,62626,23036,24351,17475,40,111,18,16,0,0,0,0
2호선,이대,32,1,2441,1718,5865,10967,17031,10830,21977,33172,14027,30400,10947,21766,12346,18381,17793,19519,19432,22698,17297,18677,20303,17433,27007,17870,36310,21524,32460,28920,19646,21198,16324,12500,16295,11629,13342,11101,4053,8772,3,29,0,6,0,1,0,0
